title,description
Tove,"Helsinki, 1945. The end of the war brings a new sense of artistic and social freedom for painter Tove Jansson. Modern art, dizzying parties and an open relationship with a married politician: Her unconventional life puts her at odds with her sculptor father's strict ideals. Tove's desire for liberty is put to the test when she meets theatre director Vivica Bandler. Her love for Vivica is electric and all-consuming but Tove begins to realize that the love she truly yearns has to be reciprocated. As she struggles with her personal life, her creative endeavors take her in an unexpected direction. While focusing her artistic dreams on her painting, the work that started as a side project, the melancholic, haunting tales she told scared children in bomb shelters, rapidly takes on a life of its own. The exploits of the Moomins, infused with inspiration from her own life, bring Tove international fame and financial freedom. There's a daily comic strip, a stage play and stories that continue to delight people around the world. But as she begins to find her artistic identity she has to learn to find herself. Her unrequited love for Vivica is preventing her true liberty and only by learning to break away from her can she truly be free. TOVE is a captivating drama about the creative energy of an iconic talent and her turbulent search for identity, desire and freedom."
The Rook,"Myfanwy Thomas wakes up in the rain beside London's Millennium Bridge with no memory of who she is and no way to explain why she is surrounded by dead bodies. She discovers she is a high-ranking official in Checquy, Britain's last secret service agency for people with paranormal abilities. Myfanwy makes it her mission to find out who she is, who wiped her memory and why she is a target while trying to navigate the complex world of a secret agency and the people who are a part of it. The series is based on the novel of the same title by Daniel O'Malley."
Dinosaur 13,"Two years after the discovery of ""Sue,"" the largest and most complete Tyrannosaurus Rex skeleton found to date, government officials seize the remains and claim that ""Sue"" was stolen from federal land."
The Diary of a Teenage Girl,"In 1970s San Francisco, a precocious 15-year-old (Bel Powley) embarks on an enthusiastic sexual odyssey, beginning with her mother's current lover (Alexander Skarsgård)."
28 Weeks Later,"Six months after the original epidemic, the rage virus has all but annihilated the population of the British Isles. Nevertheless the U.S. Army declares the danger past, and American soldiers arrive to restore order and begin reconstruction. Refugees return to British soil, but one of them carries a deadly secret: The virus is not gone and is even more dangerous than before."
Outlaw Star,"Gene Starwind is a jack-of-all-trades tough guy with a partner named Jim Hawking. A mysterious woman named Hilda shows up at Starwind's job and presents a not-so-simple request. Starwind's mysterious and motley crew seek out a legendary outer space treasure trove called the Galactic Leyline, which would gain them ultimate power. A series of adventures including pirates, assassins, poison and a space race keep the Outlaw Star crew on their toes at all times."
The Returned,"In a small Alpine village, a group of men, women and children is in a state of confusion as they try to return to their homes after years of being away. What they don't know is that no one is expecting their arrival because they have been dead for several years. Upon returning, they realize that their friends and family have moved on to the next stages of their lives since the now-returning souls passed on. Coinciding with their reappearance is a series of murders that bears a chilling resemblance to those of a serial killer from the past."
"Three Billboards Outside Ebbing, Missouri","After months have passed without a culprit in her daughter's murder case, Mildred Hayes makes a bold move, painting three signs leading into her town with a controversial message directed at William Willoughby, the town's revered chief of police. When his second-in-command, Officer Dixon -- an immature mother's boy with a penchant for violence -- gets involved, the battle is only exacerbated."
Bodyguards and Assassins,"In 1906 Hong Kong, a newspaper editor and a tycoon learn of an assassination plot against Sun Yat-sen, and recruit a small band of ordinary men and women to protect him."
13,"When Jesus looks into the eyes of Magdalena, she believes she's destined to become a nun. Then, she's told by an angel that she must give birth to 13 children on the 13th of each month."
Jai Lava Kusa,"Separated at childhood, identical triplets find their calling in life. When they cross paths, an old grudge surfaces as a bone of contention."
Aftershock,"Mayhem and death follow when an earthquake traps a group of tourists (Eli Roth, Andrea Osvárt) in a Chilean town."
Before We Go,"A chance encounter between two strangers (Chris Evans, Alice Eve) in Grand Central Terminal sparks a life-changing, nighttime sojourn through New York City."
Don't Hug Me I'm Scared,"Red Guy, Yellow Guy and Duck learn about family, electricity and death; strange and dangerous twists come their way, as their seemingly safe house reveals that they live in an actual nightmare."
Pride and Prejudice,Elizabeth Bennet and her sisters attempt to navigate the world of love and high society in an age where class and money matter.
Rizzoli & Isles,"Perhaps their strikingly different personalities make the relationship between detective Jane Rizzoli and medical examiner Maura Isles so effective. Jane, the only female cop in Boston's homicide division, is tough, relentless and rarely lets her guard down, while the impeccably dressed Maura displays a sometimes icy temperament -- she is, after all, more comfortable among the dead than the living. Together, the best friends have forged a quirky and supportive relationship; they drop the protective shield in each other's company, and combine their expertise to solve Boston's most complex cases."
Happy Endings,"For years, perfect couple Dave and Alex were the core of their group of friends, holding them all together. But when Alex leaves Dave at the altar, the gang must figure out how to deal with the fallout and split their time. Luckily, Alex and Dave realize what they all have together is worth saving. The exes decide that, just because their relationship has changed, it doesn't mean they need to lose each other completely, and as they all adjust to their new reality, they have their friends there to help get them through."
Once,"A vacuum repairman (Glen Hansard) moonlights as a street musician and hopes for his big break. One day a Czech immigrant (Marketa Irglova), who earns a living selling flowers, approaches him with the news that she is also an aspiring singer-songwriter. The pair decide to collaborate, and the songs that they compose reflect the story of their blossoming love."
Andaz Apna Apna,"Amar and Prem belong to middle-class families but dream big. Both of them vie to win over Raveena, a multimillionaire's daughter and along the way, they run into a local gangster, Teja."
